words,num,freq
abajo,118289,9.64E-05
abana,27885,2.27E-05
abang,26635,2.17E-05
abano,57451,4.68E-05
abare,64788,5.28E-05
abase,29383,2.40E-05
abate,470646,0.000383658
abati,27332,2.23E-05
abawd,12733,1.04E-05
abaya,84401,6.88E-05
abaza,15335,1.25E-05
abbas,1437558,0.001171858
abbat,13330,1.09E-05
abbes,25330,2.06E-05
abbey,4224864,0.003443994
abbia,19995,1.63E-05
abbie,444814,0.0003626
abbot,992552,0.000809101
abbox,141215,0.000115115
abbys,12959,1.06E-05
abbyy,220131,0.000179445
abcam,118381,9.65E-05
abcaz,197488,0.000160987
abcde,251137,0.00020472
abdal,26865,2.19E-05
abdel,595652,0.000485559
abdin,13399,1.09E-05
abdon,17164,1.40E-05
abdou,36012,2.94E-05
abdul,2181993,0.001778701
abdur,140707,0.0001147
abdus,55137,4.49E-05
abeam,17316,1.41E-05
abeba,30291,2.47E-05
abebe,24458,1.99E-05
abedi,18278,1.49E-05
abeer,23105,1.88E-05
abegg,16339,1.33E-05
abeja,13657,1.11E-05
abeka,30160,2.46E-05
abela,45817,3.73E-05
abele,62988,5.13E-05
abell,309706,0.000252464
abels,64684,5.27E-05
abena,16885,1.38E-05
abend,167377,0.000136441
aberg,48748,3.97E-05
abert,25137,2.05E-05
abery,16438,1.34E-05
abeta,40661,3.31E-05
abets,33014,2.69E-05
abetz,40213,3.28E-05
abexo,16150,1.32E-05
abfab,24806,2.02E-05
abhay,66907,5.45E-05
abhor,169167,0.0001379
abiah,13887,1.13E-05
abida,19802,1.61E-05
abide,3722809,0.003034732
abidi,29153,2.38E-05
abiel,20550,1.68E-05
abien,15918,1.30E-05
abies,185002,0.000150809
abihu,15213,1.24E-05
abili,23093,1.88E-05
abime,14664,1.20E-05
abita,78888,6.43E-05
abiti,59780,4.87E-05
abito,14123,1.15E-05
abkco,25229,2.06E-05
abkit,47922,3.91E-05
abled,122479,9.98E-05
abler,29740,2.42E-05
ables,252284,0.000205655
ablex,63848,5.20E-05
abley,25943,2.11E-05
ablow,15776,1.29E-05
abloy,56711,4.62E-05
ablum,135900,0.000110782
abnam,17926,1.46E-05
abner,445318,0.000363011
abney,129908,0.000105897
abnor,19506,1.59E-05
aboba,73298,5.98E-05
abobe,19133,1.56E-05
abode,1246541,0.001016146
abona,13352,1.09E-05
abood,20647,1.68E-05
abook,32598,2.66E-05
aboot,126687,0.000103272
abord,82154,6.70E-05
aborn,21833,1.78E-05
abort,1569892,0.001279733
abotu,26945,2.20E-05
aboud,30192,2.46E-05
aboue,41981,3.42E-05
aboul,20599,1.68E-05
abour,33045,2.69E-05
abous,31628,2.58E-05
about,1226734006,1
above,141894620,0.115668612
abowd,36475,2.97E-05
abram,610831,0.000497933
abrar,19941,1.63E-05
abray,13971,1.14E-05
abreu,253728,0.000206832
abril,432785,0.000352794
abrir,314497,0.000256369
abris,21355,1.74E-05
abrol,14160,1.15E-05
abrsm,103969,8.48E-05
abstr,174560,0.000142297
abudh,17652,1.44E-05
abuja,317009,0.000258417
abund,53166,4.33E-05
abuot,14805,1.21E-05
abuse,36269685,0.029566055
abuso,64661,5.27E-05
abuts,106431,8.68E-05
abuzz,101924,8.31E-05
abyss,1152408,0.000939411
abzug,36513,2.98E-05
acaai,15667,1.28E-05
acaba,32131,2.62E-05
acabo,22948,1.87E-05
acabq,27477,2.24E-05
acade,37635,3.07E-05
acara,30850,2.51E-05
acard,85010,6.93E-05
acari,80144,6.53E-05
acars,42577,3.47E-05
acasa,28909,2.36E-05
acats,45416,3.70E-05
acbee,72055,5.87E-05
accac,32680,2.66E-05
accad,15687,1.28E-05
acccg,13525,1.10E-05
accel,609528,0.000496871
accep,44582,3.63E-05
accer,23849,1.94E-05
acces,766188,0.000624575
accid,12767,1.04E-05
accio,15155,1.24E-05
accis,35084,2.86E-05
accme,65314,5.32E-05
accmu,35399,2.89E-05
accom,678188,0.00055284
accor,545593,0.000444752
accou,28629,2.33E-05
accpt,30814,2.51E-05
accra,577217,0.000470532
acctd,13578,1.11E-05
acctg,95470,7.78E-05
accts,134023,0.000109252
accum,623651,0.000508383
accus,50632,4.13E-05
accys,20785,1.69E-05
acedb,40885,3.33E-05
aceee,45116,3.68E-05
acegi,32355,2.64E-05
acela,49544,4.04E-05
acemj,13209,1.08E-05
aceon,24396,1.99E-05
acera,24530,2.00E-05
acero,66741,5.44E-05
acers,31994,2.61E-05
acess,171785,0.000140034
acest,74753,6.09E-05
aceto,65748,5.36E-05
acevi,14612,1.19E-05
acgcc,14086,1.15E-05
acgih,294958,0.000240442
acgme,79843,6.51E-05
achan,22796,1.86E-05
achar,32197,2.62E-05
achat,524619,0.000427655
achds,21062,1.72E-05
ached,153141,0.000124836
acheh,24710,2.01E-05
achen,16605,1.35E-05
acher,21337,1.74E-05
aches,1116644,0.000910258
achey,23556,1.92E-05
achim,218610,0.000178205
achin,30636,2.50E-05
achme,68967,5.62E-05
achoo,33177,2.70E-05
achor,17692,1.44E-05
achos,101228,8.25E-05
achot,12979,1.06E-05
achse,16657,1.36E-05
aciar,90186,7.35E-05
acics,18285,1.49E-05
acide,32036,2.61E-05
acido,44676,3.64E-05
acids,8793940,0.007168579
acier,45292,3.69E-05
acima,15247,1.24E-05
acing,35956,2.93E-05
acini,24397,1.99E-05
acked,25812,2.10E-05
acker,317695,0.000258976
aclug,23234,1.89E-05
acmax,18756,1.53E-05
acmec,13269,1.08E-05
acnes,44507,3.63E-05
acnfp,19166,1.56E-05
acoem,17783,1.45E-05
acoll,37076,3.02E-05
acoma,102869,8.39E-05
acomb,26372,2.15E-05
acoms,17830,1.45E-05
acord,149259,0.000121672
acorn,1825652,0.001488222
acorp,92061,7.50E-05
acosh,25133,2.05E-05
acoss,23386,1.91E-05
acous,22553,1.84E-05
acpid,41648,3.40E-05
acqua,579136,0.000472096
acque,25702,2.10E-05
acqui,58357,4.76E-05
acrds,61532,5.02E-05
acree,37615,3.07E-05
acreo,16588,1.35E-05
acres,14208905,0.011582711
acrid,104638,8.53E-05
acris,38457,3.13E-05
acrod,14337,1.17E-05
acros,67908,5.54E-05
acryl,65559,5.34E-05
acsec,14684,1.20E-05
acsis,18430,1.50E-05
acson,19093,1.56E-05
acsys,27897,2.27E-05
actar,16834,1.37E-05
actas,48000,3.91E-05
actec,15876,1.29E-05
acted,4468180,0.003642338
actek,26943,2.20E-05
actel,127328,0.000103794
acter,59456,4.85E-05
actes,146910,0.000119757
actew,30331,2.47E-05
actfl,40329,3.29E-05
actie,57252,4.67E-05
actif,83555,6.81E-05
actin,1356491,0.001105774
actio,54289,4.43E-05
actiq,12783,1.04E-05
actis,57208,4.66E-05
activ,332053,0.000270681
actly,26695,2.18E-05
acton,1309016,0.001067074
actor,16282891,0.013273367
actos,258309,0.000210566
actra,34746,2.83E-05
actua,82731,6.74E-05
actus,100794,8.22E-05
actvt,15362,1.25E-05
acuff,122219,9.96E-05
acult,17725,1.44E-05
acuna,90106,7.35E-05
acura,4162891,0.003393475
acuta,36786,3.00E-05
acute,11128841,0.009071927
acvim,23619,1.93E-05
aczel,24890,2.03E-05
adaag,60695,4.95E-05
adael,31973,2.61E-05
adage,419158,0.000341686
adair,897652,0.000731741
adalt,52265,4.26E-05
adama,136208,0.000111033
adame,29457,2.40E-05
adamg,27702,2.26E-05
adami,67211,5.48E-05
adamj,55291,4.51E-05
adamo,244649,0.000199431
adams,17620255,0.01436355
adamu,26043,2.12E-05
adamw,26620,2.17E-05
adana,153780,0.000125357
adani,12837,1.05E-05
adaps,13271,1.08E-05
adapt,4675567,0.003811394
adara,125992,0.000102705
adare,116893,9.53E-05
adasa,38362,3.13E-05
adass,13703,1.12E-05
adata,141262,0.000115153
adath,13016,1.06E-05
adays,13959,1.14E-05
adbbs,32816,2.68E-05
adbot,19586,1.60E-05
adcom,128755,0.000104958
adcox,14878,1.21E-05
addai,14980,1.22E-05
addam,12740,1.04E-05
addas,57994,4.73E-05
addax,16108,1.31E-05
addco,18258,1.49E-05
adddl,12840,1.05E-05
added,118410414,0.09652493
adden,18706,1.52E-05
adder,888956,0.000724653
addic,24423,1.99E-05
addie,315504,0.00025719
addin,166931,0.000136078
addio,54645,4.45E-05
addis,752836,0.000613691
addit,39800,3.24E-05
addle,15267,1.24E-05
addnl,12725,1.04E-05
addon,711815,0.000580252
addre,15387,1.25E-05
addrs,45480,3.71E-05
addtl,27134,2.21E-05
addto,12807,1.04E-05
addys,22934,1.87E-05
adeeb,15633,1.27E-05
adeel,18765,1.53E-05
adeje,160916,0.000131174
adela,167668,0.000136678
adele,862242,0.000702876
adeli,16604,1.35E-05
adell,74296,6.06E-05
adema,212122,0.000172916
ademe,19976,1.63E-05
adena,257864,0.000210204
adeno,84180,6.86E-05
adeos,68410,5.58E-05
adept,1595303,0.001300447
adesa,41135,3.35E-05
adeva,16387,1.34E-05
adfav,17648,1.44E-05
adger,41149,3.35E-05
adham,24921,2.03E-05
adhan,37011,3.02E-05
adhes,23702,1.93E-05
adhlt,15137,1.23E-05
adhoc,180599,0.000147219
adian,13219,1.08E-05
adibi,13031,1.06E-05
adieu,274747,0.000223966
adige,222811,0.000181629
adilt,39150,3.19E-05
adina,192600,0.000157002
ading,21841,1.78E-05
adios,348221,0.00028386
adire,13883,1.13E-05
adisa,22594,1.84E-05
aditi,98380,8.02E-05
adits,12932,1.05E-05
adium,103691,8.45E-05
adjab,161892,0.00013197
adjei,18727,1.53E-05
adjlt,17047,1.39E-05
adkin,18026,1.47E-05
adlai,82220,6.70E-05
adlam,14616,1.19E-05
adler,1926676,0.001570574
adley,20483,1.67E-05
adlib,102724,8.37E-05
adlon,149798,0.000122111
adlut,71522,5.83E-05
adman,30780,2.51E-05
admet,14641,1.19E-05
admin,37835381,0.030842367
admis,78744,6.42E-05
admit,8780656,0.007157751
admix,17678,1.44E-05
admon,19591,1.60E-05
adnan,312166,0.000254469
adnet,30632,2.50E-05
adney,23119,1.88E-05
adobe,27538755,0.02244884
adobo,73556,6.00E-05
adodb,542944,0.000442593
adolc,110876,9.04E-05
adolf,957923,0.000780873
adolt,18499,1.51E-05
adona,18049,1.47E-05
adoni,22225,1.81E-05
adopt,11272339,0.009188902
adora,187999,0.000153252
adore,1176240,0.000958839
adorn,464591,0.000378722
adoro,35896,2.93E-05
adour,14276,1.16E-05
adown,15167,1.24E-05
adpcm,191038,0.000155729
adpkd,15896,1.30E-05
adptr,52883,4.31E-05
adran,235182,0.000191714
adrar,16718,1.36E-05
adref,75862,6.18E-05
adrem,28075,2.29E-05
adres,223078,0.000181847
adria,470792,0.000383777
adric,16214,1.32E-05
adron,20454,1.67E-05
adude,19891,1.62E-05
aduit,34900,2.84E-05
adukt,22087,1.80E-05
adulf,15537,1.27E-05
adulg,16336,1.33E-05
adulr,24767,2.02E-05
adult,97583096,0.07954707
aduly,31399,2.56E-05
adumt,13085,1.07E-05
aduot,15482,1.26E-05
adupt,16292,1.33E-05
adurt,16275,1.33E-05
adutl,26164,2.13E-05
aduva,19813,1.62E-05
advan,185331,0.000151077
adven,41914,3.42E-05
adver,111948,9.13E-05
advfn,145310,0.000118453
advfs,14712,1.20E-05
advid,15965,1.30E-05
advil,315709,0.000257357
advis,44446,3.62E-05
advts,199409,0.000162553
adyar,40195,3.28E-05
adylt,19194,1.56E-05
adzam,146303,0.000119262
adzin,16463,1.34E-05
aearo,23023,1.88E-05
aecma,15324,1.25E-05
aecom,32665,2.66E-05
aedes,173718,0.00014161
aedpa,70304,5.73E-05
aedst,1353574,0.001103396
aedui,21230,1.73E-05
aeema,17472,1.42E-05
aegee,186736,0.000152222
aegir,27842,2.27E-05
aegis,1349788,0.00110031
aegon,100543,8.20E-05
aeiou,31915,2.60E-05
aejmc,26440,2.16E-05
aelia,15029,1.23E-05
aelod,75338,6.14E-05
aelst,14489,1.18E-05
aenor,18259,1.49E-05
aeons,92070,7.51E-05
aepgb,13322,1.09E-05
aerea,60999,4.97E-05
aeree,36309,2.96E-05
aerei,68042,5.55E-05
aereo,60689,4.95E-05
aeres,62635,5.11E-05
aerie,107043,8.73E-05
aerin,15640,1.27E-05
aerio,111086,9.06E-05
aeris,148358,0.000120937
aeron,155041,0.000126385
aeros,137375,0.000111984
aerts,57102,4.65E-05
aerus,16329,1.33E-05
aeryn,86252,7.03E-05
aesar,14195,1.16E-05
aesir,33093,2.70E-05
aesop,499263,0.000406986
aetec,38735,3.16E-05
aetna,953457,0.000777232
aeult,16426,1.34E-05
aevum,15158,1.24E-05
afael,25396,2.07E-05
afaik,401439,0.000327242
afair,23766,1.94E-05
afana,28009,2.28E-05
afars,16470,1.34E-05
afcea,45952,3.75E-05
afcee,38845,3.17E-05
afcon,13318,1.09E-05
afdcb,21589,1.76E-05
afeni,19294,1.57E-05
afepl,18582,1.51E-05
afety,77324,6.30E-05
affan,13167,1.07E-05
affec,14605,1.19E-05
affid,38719,3.16E-05
affil,62758,5.12E-05
affix,444121,0.000362035
affrs,14136,1.15E-05
afftc,15163,1.24E-05
afgan,25681,2.09E-05
afiap,14659,1.19E-05
afifi,21819,1.78E-05
afile,19040,1.55E-05
afina,14103,1.15E-05
afips,17512,1.43E-05
afire,113772,9.27E-05
afirm,29442,2.40E-05
afkar,33347,2.72E-05
aflac,276484,0.000225382
afman,43338,3.53E-05
afnor,29494,2.40E-05
afoev,52720,4.30E-05
afoot,364417,0.000297063
afora,59654,4.86E-05
aford,15430,1.26E-05
afore,191691,0.000156261
afosi,18330,1.49E-05
afosr,45643,3.72E-05
afoul,159727,0.000130205
afree,14907,1.22E-05
afric,44486,3.63E-05
afrin,30661,2.50E-05
afrol,63149,5.15E-05
afros,24950,2.03E-05
afrox,13497,1.10E-05
afrts,28930,2.36E-05
afsoc,15445,1.26E-05
afspc,45555,3.71E-05
aftab,90433,7.37E-05
aftco,22420,1.83E-05
after,372948094,0.304017083
afton,473534,0.000386012
aftra,66638,5.43E-05
aftrs,30812,2.51E-05
afula,19792,1.61E-05
afult,17541,1.43E-05
afyon,37155,3.03E-05
afzal,66426,5.41E-05
agago,51821,4.22E-05
again,150781416,0.122912885
agama,68959,5.62E-05
agami,18814,1.53E-05
agana,143038,0.000116601
agape,414471,0.000337865
agard,51334,4.18E-05
agata,120510,9.82E-05
agate,900451,0.000734023
agave,312239,0.000254529
agavi,47439,3.87E-05
agawa,14855,1.21E-05
agbar,16290,1.33E-05
agcas,74904,6.11E-05
agcgc,20754,1.69E-05
agder,79659,6.49E-05
agefi,111038,9.05E-05
ageia,29833,2.43E-05
agena,56543,4.61E-05
agent,57103658,0.04654934
agere,248141,0.000202278
agers,180316,0.000146989
agfeo,22381,1.82E-05
aggcc,24888,2.03E-05
aggcg,32175,2.62E-05
agger,27373,2.23E-05
aggie,616732,0.000502743
aggre,53060,4.33E-05
aggro,171343,0.000139674
aghia,26188,2.13E-05
agian,110974,9.05E-05
agila,64661,5.27E-05
agile,1808955,0.001474611
aging,12014007,0.00979349
agion,23513,1.92E-05
agios,230082,0.000187557
agius,92749,7.56E-05
aglet,21535,1.76E-05
aglio,38313,3.12E-05
aglow,110328,8.99E-05
agmap,14731,1.20E-05
agmes,50720,4.13E-05
agmon,25248,2.06E-05
agner,13616,1.11E-05
agnes,2322429,0.001893181
agnet,46407,3.78E-05
agnew,419400,0.000341883
agnic,14509,1.18E-05
agnon,27661,2.25E-05
agnor,16281,1.33E-05
agnus,150944,0.000123045
agogo,27767,2.26E-05
agong,17511,1.43E-05
agony,1543205,0.001257978
agood,24742,2.02E-05
agoos,14546,1.19E-05
agora,797585,0.000650169
agost,18849,1.54E-05
agram,22750,1.85E-05
agran,16174,1.32E-05
agrar,27123,2.21E-05
agree,47500911,0.038721443
agren,23478,1.91E-05
agrep,50759,4.14E-05
agric,441229,0.000359678
agrin,23924,1.95E-05
agris,40747,3.32E-05
agron,80085,6.53E-05
agsci,31456,2.56E-05
aguas,161745,0.00013185
agung,59799,4.87E-05
aguri,60203,4.91E-05
agust,13252,1.08E-05
agway,35322,2.88E-05
agweb,14139,1.15E-05
agwna,35485,2.89E-05
ahafo,18534,1.51E-05
ahaha,73869,6.02E-05
ahaus,49767,4.06E-05
ahava,215548,0.000175709
ahazi,29816,2.43E-05
ahbao,15533,1.27E-05
ahcpr,63092,5.14E-05
ahead,28375319,0.023130784
ahelp,55247,4.50E-05
ahepa,21172,1.73E-05
ahera,30721,2.50E-05
ahern,510173,0.000415879
ahfmr,24289,1.98E-05
ahhhh,272065,0.00022178
ahhoo,12737,1.04E-05
ahigh,12899,1.05E-05
ahima,53555,4.37E-05
ahime,13446,1.10E-05
ahirc,12733,1.04E-05
ahite,31136,2.54E-05
ahlen,21224,1.73E-05
ahler,39759,3.24E-05
ahlul,63744,5.20E-05
ahmad,1832364,0.001493693
ahman,60361,4.92E-05
ahmar,22785,1.86E-05
ahmed,2715850,0.002213887
ahmet,215359,0.000175555
ahola,20580,1.68E-05
ahold,295977,0.000241272
ahora,505670,0.000412208
ahram,247441,0.000201707
ahrma,19655,1.60E-05
ahrry,27815,2.27E-05
ahsan,64647,5.27E-05
ahuja,112141,9.14E-05
ahura,54437,4.44E-05
ahuri,14831,1.21E-05
ahvaz,46032,3.75E-05
ahwaz,29797,2.43E-05
ahzab,17462,1.42E-05
aiada,54390,4.43E-05
aicar,12828,1.05E-05
aicha,38866,3.17E-05
aiche,128907,0.000105081
aichi,304999,0.000248627
aicon,19125,1.56E-05
aicpa,364055,0.000296768
aicte,45072,3.67E-05
aidan,707748,0.000576937
aided,3314916,0.002702229
aidem,20376,1.66E-05
aiden,317384,0.000258723
aider,140957,0.000114904
aides,1614522,0.001316114
aidez,14305,1.17E-05
aidid,17104,1.39E-05
aidin,17209,1.40E-05
aidoo,15780,1.29E-05
aieee,19110,1.56E-05
aient,17450,1.42E-05
aifft,26988,2.20E-05
aifia,28954,2.36E-05
aifrs,27793,2.27E-05
aight,127253,0.000103733
aigle,94082,7.67E-05
aiims,54373,4.43E-05
aijaz,23000,1.87E-05
aiken,1493709,0.001217631
aikin,31912,2.60E-05
ailed,20703,1.69E-05
ailes,184353,0.00015028
ailey,137298,0.000111922
ailie,12810,1.04E-05
ailsa,104752,8.54E-05
aimag,23942,1.95E-05
aimai,15896,1.30E-05
aimal,17063,1.39E-05
aiman,18596,1.52E-05
aimar,18960,1.55E-05
aimco,33848,2.76E-05
aimed,10030370,0.008176483
aimee,1204884,0.000982188
aimer,96862,7.90E-05
aimes,25869,2.11E-05
aimez,23256,1.90E-05
aimms,109349,8.91E-05
aimoo,21497,1.75E-05
ainda,109606,8.93E-05
ainfo,21296,1.74E-05
ainge,55427,4.52E-05
ainme,18628,1.52E-05
ainsi,405352,0.000330432
aioli,84769,6.91E-05
aipac,143887,0.000117293
aipge,40267,3.28E-05
aipla,29034,2.37E-05
aippg,26564,2.17E-05
aippi,17134,1.40E-05
airam,29335,2.39E-05
airco,67035,5.46E-05
airds,19226,1.57E-05
aired,2159611,0.001760456
airer,36215,2.95E-05
aires,3540986,0.002886515
airex,19449,1.59E-05
airey,60551,4.94E-05
airgo,32456,2.65E-05
airis,54290,4.43E-05
airpo,14729,1.20E-05
airth,28113,2.29E-05
airto,31875,2.60E-05
aisan,138994,0.000113304
aises,21798,1.78E-05
aisha,326098,0.000265826
aisin,47268,3.85E-05
aisle,1917319,0.001562946
aisne,65558,5.34E-05
aissa,12775,1.04E-05
aitch,28626,2.33E-05
aitec,14363,1.17E-05
aitel,20912,1.70E-05
aitna,19214,1.57E-05
aitoc,47725,3.89E-05
aiton,28177,2.30E-05
aitor,27664,2.26E-05
aitos,25297,2.06E-05
aiusa,13421,1.09E-05
aiuto,183618,0.00014968
aixam,266758,0.000217454
aiyar,59513,4.85E-05
aiyer,15552,1.27E-05
aiyyo,14005,1.14E-05
aizen,20489,1.67E-05
ajaan,13621,1.11E-05
ajahn,41225,3.36E-05
ajami,29901,2.44E-05
ajani,14133,1.15E-05
ajarn,14670,1.20E-05
ajayi,24707,2.01E-05
ajime,12857,1.05E-05
ajith,56216,4.58E-05
ajmal,22047,1.80E-05
ajman,100670,8.21E-05
ajmer,402424,0.000328045
ajout,50942,4.15E-05
ajram,37097,3.02E-05
ajtai,13953,1.14E-05
ajuda,127745,0.000104134
ajuga,31146,2.54E-05
ajump,76083,6.20E-05
ajung,138043,0.000112529
ajzen,18935,1.54E-05
akaar,30266,2.47E-05
akaev,27758,2.26E-05
akagi,40655,3.31E-05
akahi,13627,1.11E-05
akaka,155365,0.000126649
akala,32797,2.67E-05
akali,52169,4.25E-05
akama,22160,1.81E-05
akamu,77028,6.28E-05
akane,317271,0.000258631
akara,18295,1.49E-05
akard,17581,1.43E-05
akari,50623,4.13E-05
akasa,250625,0.000204303
akash,70334,5.73E-05
akbar,539549,0.000439826
akbbs,34572,2.82E-05
akcji,64985,5.30E-05
akeem,28842,2.35E-05
akela,28395,2.31E-05
akemi,101356,8.26E-05
akena,19327,1.58E-05
akeni,26626,2.17E-05
akers,342816,0.000279454
akeru,15768,1.29E-05
akhal,15740,1.28E-05
akhil,60563,4.94E-05
akhir,22080,1.80E-05
akiak,25477,2.08E-05
akiba,81604,6.65E-05
akica,75231,6.13E-05
akiko,172581,0.000140683
akili,16376,1.33E-05
akina,32043,2.61E-05
aking,105864,8.63E-05
akino,18116,1.48E-05
akins,186700,0.000152193
akira,1339862,0.001092219
akita,440387,0.000358991
akito,55990,4.56E-05
akiva,147117,0.000119926
akkad,39124,3.19E-05
akker,17335,1.41E-05
akkor,20433,1.67E-05
akkus,35725,2.91E-05
aklan,63003,5.14E-05
aklog,19673,1.60E-05
akmal,64920,5.29E-05
akman,17937,1.46E-05
akode,29438,2.40E-05
akola,29846,2.43E-05
akoma,39272,3.20E-05
akomh,57632,4.70E-05
akona,49480,4.03E-05
akong,72533,5.91E-05
akono,214965,0.000175234
akorn,13182,1.07E-05
akoya,223685,0.000182342
akram,164511,0.000134105
akran,13023,1.06E-05
akron,3270629,0.002666127
aksam,17650,1.44E-05
aksar,18812,1.53E-05
aksel,23178,1.89E-05
aksoy,29187,2.38E-05
aksum,15593,1.27E-05
aktar,16372,1.33E-05
aktau,16167,1.32E-05
aktel,14798,1.21E-05
akten,20362,1.66E-05
aktie,53300,4.34E-05
aktiv,101545,8.28E-05
akudi,27076,2.21E-05
akula,23254,1.90E-05
akuma,84175,6.86E-05
akuna,17632,1.44E-05
akura,48566,3.96E-05
akure,16328,1.33E-05
akush,21197,1.73E-05
akvis,60910,4.97E-05
akyol,14997,1.22E-05
akzaa,27618,2.25E-05
alack,38913,3.17E-05
alaia,33597,2.74E-05
alain,1888792,0.001539692
alama,17733,1.45E-05
alami,28414,2.32E-05
alamo,2162395,0.001762725
alamy,137091,0.000111753
alana,619065,0.000504645
aland,874439,0.000712819
alane,34667,2.83E-05
alang,48219,3.93E-05
alanh,19151,1.56E-05
alani,27009,2.20E-05
alano,26161,2.13E-05
alans,34103,2.78E-05
alara,96565,7.87E-05
alarm,17059844,0.013906718
alarp,14942,1.22E-05
alary,13261,1.08E-05
alata,48003,3.91E-05
alato,13265,1.08E-05
alatt,17091,1.39E-05
alava,47802,3.90E-05
alavi,48341,3.94E-05
alawa,16696,1.36E-05
alawi,32627,2.66E-05
alaya,27987,2.28E-05
alban,440158,0.000358805
albar,14959,1.22E-05
albay,29484,2.40E-05
albee,239116,0.000194921
alben,352565,0.000287401
alber,119063,9.71E-05
albia,67496,5.50E-05
albie,49453,4.03E-05
albin,244455,0.000199273
albir,22216,1.81E-05
albis,13784,1.12E-05
albom,146853,0.000119711
albon,26121,2.13E-05
albox,34718,2.83E-05
albro,24608,2.01E-05
albsa,29525,2.41E-05
album,77914316,0.063513619
albus,177125,0.000144387
albyn,17585,1.43E-05
alcam,87653,7.15E-05
alcan,342146,0.000278908
alcea,23420,1.91E-05
alcee,31460,2.56E-05
alces,37564,3.06E-05
alcia,13539,1.10E-05
alcoa,671251,0.000547185
alcom,31444,2.56E-05
alcon,151386,0.000123406
alcor,100118,8.16E-05
alcoy,16392,1.34E-05
alcts,64472,5.26E-05
alcun,20042,1.63E-05
aldan,32374,2.64E-05
aldea,47423,3.87E-05
aldec,23487,1.91E-05
alden,941109,0.000767166
alder,972850,0.000793041
aldie,48833,3.98E-05
aldin,19544,1.59E-05
aldis,37547,3.06E-05
aldol,32614,2.66E-05
aldon,123653,0.000100799
aldor,20164,1.64E-05
aldot,15208,1.24E-05
aldus,75491,6.15E-05
aleah,14855,1.21E-05
alebo,18164,1.48E-05
aleck,69914,5.70E-05
alecm,38587,3.15E-05
aledo,129381,0.000105468
aleem,34889,2.84E-05
aleen,22956,1.87E-05
aleev,13499,1.10E-05
alega,53843,4.39E-05
alejo,55078,4.49E-05
aleka,16233,1.32E-05
aleks,127979,0.000104325
alema,14402,1.17E-05
alena,173992,0.000141834
alene,720301,0.00058717
alent,45049,3.67E-05
aleph,692035,0.000564128
alera,178619,0.000145605
alero,148661,0.000121184
alers,14096,1.15E-05
alert,32472727,0.026470879
alesi,60840,4.96E-05
aleta,50738,4.14E-05
aleut,121785,9.93E-05
aleve,103209,8.41E-05
alevt,17272,1.41E-05
alexa,3144869,0.002563611
alexi,142501,0.000116163
alexr,26454,2.16E-05
alexs,17793,1.45E-05
alexx,36142,2.95E-05
alexy,30414,2.48E-05
alexz,45213,3.69E-05
alfab,22016,1.79E-05
alfar,14822,1.21E-05
alfas,23952,1.95E-05
alfax,30601,2.49E-05
alfaz,15086,1.23E-05
alfex,49830,4.06E-05
alfie,486328,0.000396441
alfio,21242,1.73E-05
alfre,51259,4.18E-05
algae,2068644,0.001686302
algal,510781,0.000416375
algan,43398,3.54E-05
algar,44407,3.62E-05
algas,36273,2.96E-05
