word	likely
bland	0.4902956001744444
night	0.4907787792097323
madam	0.49086432522649265
berth	0.4917805084153193
stead	0.4920428919012666
voice	0.4940319315184436
agape	0.49445488093535905
fluff	0.49513896582338834
field	0.4961827929739998
sever	0.49647507660590035
lilac	0.49690959059037604
egret	0.5006582687956143
pinto	0.5006773867541374
hutch	0.5011663612435837
gawky	0.5036659866753667
droll	0.5057473434065833
retro	0.5061135300535279
rusty	0.5061571114887353
beady	0.5063353276732009
smite	0.5064758626515222
brink	0.5090081539676079
awful	0.5096192672828997
gloat	0.5129582401414299
input	0.5147805153877751
loser	0.5148716029351595
cacao	0.5153990488170057
blown	0.5156859585150776
apron	0.5164389854375188
primo	0.5184598222321435
atone	0.5196180413817414
donor	0.5198118879803408
float	0.520212163514136
goose	0.5212601534800931
piety	0.5229455281933141
girth	0.5231419651273291
trait	0.5240840794978696
flood	0.5245125077099679
gloom	0.52451883942685
depth	0.5246326609297858
froth	0.5248488384982257
peach	0.5255408092213473
showy	0.5256500832849526
creak	0.5306924762033276
manor	0.5310256018728424
atoll	0.5322193776143201
bayou	0.5323909195838293
crept	0.5331420315282693
tiara	0.5349949971932736
asset	0.5355003317954755
vouch	0.5376846493215877
album	0.537968968684248
hinge	0.541027405687501
money	0.5419752369915959
scrap	0.5420117670652351
gamer	0.5431039247476113
glass	0.5441831935748078
scour	0.5446759879663254
being	0.546325264093724
delve	0.5472019396729478
yield	0.5475130246908407
metal	0.5477565726439116
tipsy	0.5484711988019776
slung	0.5525470923937313
farce	0.553632700830383
gecko	0.5544349213466836
shine	0.5551448588958233
canny	0.5553559242600966
midst	0.5562919870915918
badge	0.5565369058673564
homer	0.5577799513890329
train	0.5592808773310429
hairy	0.5597197110856255
story	0.5605769284560684
forgo	0.5612102942205967
larva	0.5614041750525278
trash	0.5624319766094228
zesty	0.5642486739304499
shown	0.5667660123511719
heist	0.5675210775611447
askew	0.5682312426930668
inert	0.5695779866008368
olive	0.5703897781860927
plant	0.5725435202088356
oxide	0.5734215223234912
cargo	0.5751661088860528
foyer	0.5776561895896297
flair	0.5783755228048044
ample	0.5784352446625631
cheek	0.5814158881206808
shame	0.5820571033256101
mince	0.5832113556723233
chunk	0.5841523189103636
royal	0.5856976243664145
squad	0.5864881654863058
black	0.5874975266034534
stair	0.5883397339878549
scare	0.5906614962888442
foray	0.5912727771144833
comma	0.5914561817759103
natal	0.5916719642512218
shawl	0.59205169882395
fewer	0.5921393195229298
trope	0.5952340405688716
snout	0.5955440007950177
lowly	0.5956529503935207
stove	0.5996333396990058
shall	0.5996490407411658
found	0.6023681878683693
nymph	0.6027030351664442
epoxy	0.6034062195648209
depot	0.6042173884741703
chest	0.6052513178429066
purge	0.6064735786203728
slosh	0.6073663082954206
their	0.607542538873858
renew	0.6090724598602776
allow	0.6105848012212238
saute	0.6137421432267381
movie	0.6137560520123125
cater	0.6158915004961271
tease	0.6173599359567642
smelt	0.618758992163952
focus	0.6193767774463879
today	0.6197548110865375
watch	0.6211050766855732
lapse	0.621715101603813
month	0.6251716452393216
sweet	0.6255611385856791
hoard	0.6261222238335925
cloth	0.6304037767838135
brine	0.6343995325259704
ahead	0.634766878197994
mourn	0.6360338636505855
nasty	0.6365568042190094
rupee	0.636761451453222
choke	0.6390387793973009
chant	0.6408145926412474
spill	0.6408755704064183
vivid	0.6411003876015137
bloke	0.6479825933522432
trove	0.6480567160574828
thorn	0.6528435044797763
other	0.6558876638586274
tacit	0.6565720833521506
swill	0.6574656715936695
dodge	0.6592462282894106
shake	0.6596952658427911
caulk	0.6603311592072927
aroma	0.6648166112449351
cynic	0.668555200566666
robin	0.6698982999752962
ultra	0.6774187091616545
ulcer	0.6812910202385175
pause	0.6813263022973315
humor	0.6825738636880226
frame	0.6885492555751956
elder	0.6887060016040965
skill	0.7017240160243416
aloft	0.7032206642357127
pleat	0.7040401740592559
shard	0.704693270404278
moist	0.705770597912709
those	0.709548237015477
light	0.7173993911721968
wrung	0.7191302101187786
could	0.7224103741136798
perky	0.7236369205143612
mount	0.727597333710067
whack	0.7341020421698153
sugar	0.7345991221845545
knoll	0.7462276878612604
crimp	0.7534264574250649
wince	0.763500829826758
prick	0.7642524153849277
robot	0.7690675262436806
point	0.7713053386855799
proxy	0.7841425887118566
shire	0.7911706771204289
solar	0.8009678179157188
panic	0.8062343790125314
tangy	0.8446464669005734
abbey	0.8470127841185322
favor	0.8515575186335341
drink	0.8568037422591116
query	0.8848664112409604
gorge	0.8973069070095039
crank	0.9046120099972992
slump	0.917723069068844
